,Fecha,temp_max,temp_min
0,1940-01-01,4.0,-3.2
1,1940-01-02,0.6,-3.1
2,1940-01-03,2.6,-3.5
3,1940-01-04,4.5,-1.7
4,1940-01-05,3.4,-3.2
5,1940-01-06,6.9,-0.3
6,1940-01-07,10.7,6.2
7,1940-01-08,7.4,5.1
8,1940-01-09,5.7,-1.0
9,1940-01-10,1.7,-3.0
10,1940-01-11,2.6,-3.1
11,1940-01-12,2.1,-2.0
12,1940-01-13,1.5,-4.4
13,1940-01-14,2.8,-2.4
14,1940-01-15,2.1,-3.7
15,1940-01-16,2.4,-3.5
16,1940-01-17,-0.4,-4.4
17,1940-01-18,1.8,-3.3
18,1940-01-19,2.5,-5.2
19,1940-01-20,-4.2,-10.7
20,1940-01-21,-2.7,-8.5
21,1940-01-22,1.3,-3.8
22,1940-01-23,-0.6,-10.6
23,1940-01-24,2.1,-4.8
24,1940-01-25,1.8,-6.9
25,1940-01-26,4.3,0.4
26,1940-01-27,3.8,-0.9
27,1940-01-28,0.2,-2.1
28,1940-01-29,-1.4,-3.6
29,1940-01-30,0.2,-2.4
30,1940-01-31,3.9,0.3
31,1940-02-01,5.6,1.7
32,1940-02-02,4.2,0.9
33,1940-02-03,7.0,2.5
34,1940-02-04,10.6,4.6
35,1940-02-05,9.8,6.7
36,1940-02-06,8.6,5.5
37,1940-02-07,10.0,5.9
38,1940-02-08,8.6,3.0
39,1940-02-09,3.4,-1.0
40,1940-02-10,-0.2,-3.5
41,1940-02-11,1.6,-3.8
42,1940-02-12,-1.4,-7.1
43,1940-02-13,-1.5,-5.6
44,1940-02-14,-1.3,-6.8
45,1940-02-15,1.0,-7.0
46,1940-02-16,4.0,-2.4
47,1940-02-17,3.0,-3.6
48,1940-02-18,2.6,-7.7
49,1940-02-19,8.5,2.0
50,1940-02-20,9.3,2.4
51,1940-02-21,12.3,5.1
52,1940-02-22,12.5,5.7
53,1940-02-23,11.1,8.4
54,1940-02-24,9.5,5.6
55,1940-02-25,9.8,3.0
56,1940-02-26,9.0,2.9
57,1940-02-27,11.6,7.9
58,1940-02-28,13.0,6.9
59,1940-02-29,6.8,1.9
60,1940-03-01,4.5,0.9
61,1940-03-02,4.4,0.5
62,1940-03-03,6.3,-1.7
63,1940-03-04,11.0,-1.9
64,1940-03-05,4.7,-0.1
65,1940-03-06,5.8,-1.1
