,Fecha,temp_max,temp_min
1,1940-01-02,22.5,17.7
2,1940-01-03,25.4,16.7
3,1940-01-04,28.8,16.9
4,1940-01-05,22.4,19.6
5,1940-01-06,29.5,20.0
6,1940-01-07,19.9,18.3
7,1940-01-08,21.2,17.3
8,1940-01-09,24.7,15.4
9,1940-01-10,26.2,16.8
10,1940-01-11,32.3,15.5
11,1940-01-12,26.4,20.0
12,1940-01-13,30.0,20.5
13,1940-01-14,28.4,19.5
14,1940-01-15,37.8,19.0
15,1940-01-16,26.2,20.3
16,1940-01-17,34.4,18.3
17,1940-01-18,25.5,21.1
18,1940-01-19,32.0,21.9
19,1940-01-20,22.9,19.9
20,1940-01-21,34.4,17.8
21,1940-01-22,30.9,18.9
22,1940-01-23,29.6,22.1
23,1940-01-24,30.7,21.1
24,1940-01-25,38.1,22.2
25,1940-01-26,39.2,22.3
26,1940-01-27,27.7,20.0
27,1940-01-28,36.3,19.9
28,1940-01-29,31.8,21.1
29,1940-01-30,25.1,21.1
30,1940-01-31,21.0,18.8
31,1940-02-01,23.4,18.3
32,1940-02-02,28.5,17.6
33,1940-02-03,23.7,19.6
34,1940-02-04,32.9,18.8
35,1940-02-05,27.7,18.5
36,1940-02-06,25.7,19.8
37,1940-02-07,23.3,19.3
38,1940-02-08,27.4,19.1
39,1940-02-09,23.7,18.7
40,1940-02-10,22.9,18.7
41,1940-02-11,30.6,18.5
42,1940-02-12,25.6,20.9
43,1940-02-13,25.7,19.7
44,1940-02-14,26.5,19.7
45,1940-02-15,31.4,18.7
46,1940-02-16,33.7,19.2
47,1940-02-17,30.0,21.1
48,1940-02-18,24.3,20.1
49,1940-02-19,34.7,20.1
50,1940-02-20,30.9,19.0
51,1940-02-21,22.2,19.7
52,1940-02-22,27.3,20.9
53,1940-02-23,27.7,20.5
54,1940-02-24,27.8,18.8
55,1940-02-25,29.6,19.2
56,1940-02-26,25.7,20.0
57,1940-02-27,36.8,16.2
58,1940-02-28,22.2,19.5
59,1940-02-29,31.2,20.4
60,1940-03-01,27.7,20.0
61,1940-03-02,29.5,18.3
62,1940-03-03,23.4,19.8
63,1940-03-04,23.9,18.6
64,1940-03-05,25.4,18.9
65,1940-03-06,25.1,18.2
66,1940-03-07,23.5,17.8
67,1940-03-08,25.9,15.6
68,1940-03-09,25.4,12.7
69,1940-03-10,20.7,17.0
70,1940-03-11,21.9,16.7
71,1940-03-12,23.7,17.2
72,1940-03-13,24.9,17.5
73,1940-03-14,29.4,18.5
74,1940-03-15,23.8,17.3
75,1940-03-16,25.0,17.4
76,1940-03-17,22.5,18.2
77,1940-03-18,23.4,17.1
78,1940-03-19,27.7,16.3
79,1940-03-20,33.5,16.7
80,1940-03-21,21.8,14.6
81,1940-03-22,21.5,14.6
82,1940-03-23,24.0,10.9
83,1940-03-24,26.4,12.3
84,1940-03-25,26.8,14.8
85,1940-03-26,26.0,15.0
86,1940-03-27,33.5,15.4
87,1940-03-28,29.5,16.9
88,1940-03-29,24.3,14.4
89,1940-03-30,32.0,15.3
90,1940-03-31,32.6,16.4
91,1940-04-01,27.3,18.9
92,1940-04-02,26.8,18.6
93,1940-04-03,23.9,18.1
94,1940-04-04,28.2,15.6
95,1940-04-05,23.1,16.5
96,1940-04-06,30.6,17.7
97,1940-04-07,35.3,19.4
98,1940-04-08,34.3,18.5
99,1940-04-09,27.2,19.1
100,1940-04-10,25.8,19.5
101,1940-04-11,33.7,17.8
102,1940-04-12,36.9,19.5
103,1940-04-13,19.4,13.7
104,1940-04-14,19.3,12.4
105,1940-04-15,22.9,9.7
106,1940-04-16,26.2,10.1
107,1940-04-17,20.9,15.9
108,1940-04-18,19.2,14.0
109,1940-04-19,19.7,12.9
110,1940-04-20,20.4,12.8
111,1940-04-21,26.2,10.8
112,1940-04-22,25.6,11.9
113,1940-04-23,25.8,12.8
114,1940-04-24,25.1,12.2
115,1940-04-25,30.2,12.3
116,1940-04-26,22.5,13.9
117,1940-04-27,19.4,15.7
118,1940-04-28,20.4,15.1
119,1940-04-29,19.3,15.1
120,1940-04-30,21.6,14.8
121,1940-05-01,18.6,14.5
122,1940-05-02,21.1,15.0
123,1940-05-03,19.3,14.6
124,1940-05-04,19.8,12.7
125,1940-05-05,18.6,14.8
126,1940-05-06,19.4,14.4
127,1940-05-07,18.1,13.4
128,1940-05-08,18.9,12.4
129,1940-05-09,18.3,14.1
130,1940-05-10,19.7,13.1
131,1940-05-11,20.5,11.9
132,1940-05-12,19.7,15.1
